vocab_id,palabra_nahuatl,traduccion_espanol,variante_nahuatl,categoria,dificultad,imagen_url
P0668,chikueyi tsontli,"tres mil doscientos, 3200",,salud y enfermedades,intermedio,
P0669,chiknaui tsontli,"tres mil seiscientos, 3600",,salud y enfermedades,intermedio,
P0670,ma’tlaktli tsontli,"cuatro mil, 4000",,números,intermedio,
P0671,ma’tlaktli uan se tsontli,"cuatro mil cuatrocientos, 4400",,salud y enfermedades,intermedio,
P0672,ma’tlaktli uan ome tsontli,"cuatro mil ochocientos, 4800",,salud y enfermedades,intermedio,
P0673,ma’tlaktli uan yeyi tsontli,"cinco mil doscientos, 5200",,salud y enfermedades,intermedio,
P0674,ma’tlaktli uan naui tsontli,"cinco mil seiscientos, 5600",,salud y enfermedades,intermedio,
P0675,kaxtoli tsontli,"seis mil, 6000",,números,intermedio,
P0676,kaxtoli uan se tsontli,"seis mil cuatrocientos, 6400",,salud y enfermedades,intermedio,
P0677,kaxtoli uan ome tsontli,"seis mil ochocientos, 6800",,salud y enfermedades,intermedio,
P0678,kaxtoli uan yeyi tsontli,"siete mil doscientos, 7200",,saludos y tiempo,intermedio,
P0679,kaxtoli uan naui tsontli,"siete mil seiscientos, 7600",,saludos y tiempo,intermedio,
P0680,se xikipili,"ocho mil, 8000",,números,intermedio,
P0681,ome xikipili,"diesciseis mil, 16000",,números,intermedio,
P0682,yeyi xikipili,"veinti cuatro mil, 24000",,números,intermedio,
P0683,naui xikipili,"treinta y dos mil, 32000",,números,intermedio,
P0684,makuili xikipili,"cuarenta mil, 40000",,números,intermedio,
P0685,chikuasen xikipili,"cuarenta y ocho mil, 48000",,números,intermedio,
P0686,chikome xikipili,"cincuenta y seis mil, 56000",,números,intermedio,
P0687,chikueyi xikipili,"sesenta y cuatro mil, 64000",,números,intermedio,
P0688,chiknaui xikipili,"setenta y dos mil, 72000",,números,intermedio,
P0689,ma’tlaktli xikipili,"ochenta mil, 80000",,números,intermedio,
P0690,ma’tlaktli uan se xikipili uan makuili tsontli,"noventa mil, 90000",,saludos y tiempo,intermedio,
P0691,ma’tlaktli uan ome xikipili uan ma’tlaktli tsontli,"cien mil, 100000",,números,intermedio,
P0692,se tlen ome tlatlapantli,un medio,,números,intermedio,
P0693,ome tlen yeyi tlatlapantli,dos tercios,,números,intermedio,
P0694,yeyi tlen naui tlatlapantli,tres cuartos,,salud y enfermedades,intermedio,
P0695,nau tlen makuli tlatlapantli,cuatro quintos,,salud y enfermedades,intermedio,
P0696,makuli tlen chikuasen tlatlapantli,cinco sextos,,salud y enfermedades,intermedio,
P0697,chikuasen tlen chikome tlatlapantli,seis séptimos,,números,intermedio,
P0698,chikome tlen chikueyi tlatlapantli,ocho novenos,,saludos y tiempo,intermedio,
P0699,chikueyi tlen chiknaui tlatlapantli,nueve décimos,,números,intermedio,
P0700,chiknaui tlen ma’tlaktli tlatlapantli,un entero,,otras,intermedio,
P0701,a,primera letra y vocal del alfabeto náhuatl,,otras,intermedio,
P0702,a'a,modimso que denota negación,,saludos y tiempo,intermedio,
P0703,a'alui,embárralo,,otras,intermedio,
P0704,a’anas,tomar las cosas,,elementos de la naturaleza,intermedio,
P0705,a’apopoti,burbujea,,otras,intermedio,
P0706,a’auili,juguete,,otras,basico,
P0707,a’auilpan,parque (recreación),,otras,intermedio,
P0708,achakuani,chasquido que hace un objeto al caer sobre el agua,,elementos de la naturaleza,intermedio,
P0709,achiapopotl,gasolina,,astronomía y naturaleza,intermedio,
P0710,achichintli,"guardaespaldas, achichincle",,otras,intermedio,
P0711,a’chika,constantemente,,otras,basico,
P0712,a’chika,"estalactita, estalagmita",,otras,intermedio,
P0713,achikauayotl,"debilidad, fragilidad, quebradizo",,otras,intermedio,
P0714,achiyotl,achiote (semillero),,números,intermedio,
P0715,achkaitl,pronombre,,saludos y tiempo,intermedio,
P0716,acholoni,goteo de agua,achocholoka,elementos de la naturaleza,intermedio,
P0717,achto,primero,,otras,basico,
P0718,achtopa,"primera vez, en primer lugar",,otras,intermedio,
P0719,aitskuintli,nutria marina,,elementos de la naturaleza,intermedio,
P0720,aka’,alguien,,otras,basico,
P0721,aka’aki,"alguien, alguno",,saludos y tiempo,intermedio,
P0722,akachikiuitl,chiquihuite elaborado a base de carrizo,,otras,intermedio,
P0723,akachul,bebida tradicional de la sierra de puebla,,saludos y tiempo,intermedio,
P0724,akalaki,"se le mete el agua (a una casa, a un reloj, etc.)",,elementos de la naturaleza,intermedio,
P0725,akalakis,se meterá el agua,,elementos de la naturaleza,intermedio,
P0726,akali,cuartillo (unidad tradicional de medida),,otras,intermedio,
P0727,akalchiujki,persona que fabrica el cuartillo,,otras,intermedio,
P0728,akaltik,que tiene forma de cuartillo,,otras,intermedio,
P0729,akaltlatamachiujki,"sólidos que han sido medidos con cuartillo, persona que mide con cuartillo",,saludos y tiempo,intermedio,
P0730,Akamapichtli,"rey azteca que gobernó en México Tenochtitlán de 1376 a 1395, puñado de carrizos, boquilla",,saludos y tiempo,intermedio,
P0731,akatl,carrizo,,otras,intermedio,
P0732,akatlse,"caña, periodo cronográfico del xiuhmolpilli que consta de trece años y que es un dia del calendario azteca que representa el invierno, carrizal",,saludos y tiempo,intermedio,
P0733,Akatla’,"carrizal, lugar junto a las cañas o junto a los cañaverales",,otras,intermedio,
P0734,akatlapitsal,flauta elaborada con carrizo,,otras,intermedio,
P0735,akatlapitsani,músico que toca la flauta de carrizo,,saludos y tiempo,intermedio,
P0736,akichkomoni,le suena la garganta (cuando toma agua),,elementos de la naturaleza,intermedio,
P0737,akichitia,acción de invitar o ingerir bebida,,otras,intermedio,
P0738,akichtli,bebida alcohólica,,otras,intermedio,
P0739,akichnamakoyan,"expendio de bebidas alcohólicas, cantina",,otras,intermedio,
P0740,akilitl,berro (verdura silvestre que se da a las orillas del río),,saludos y tiempo,intermedio,
P0741,akimamatkayoti,necedad,,otras,intermedio,
P0742,akinon,quién,,otras,basico,
P0743,akino’ke,quiénes,,otras,intermedio,
P0744,akisa,le sale agua (a los utensilios o recipientes),,saludos y tiempo,intermedio,
P0745,akistok,le está saliendo agua,,elementos de la naturaleza,intermedio,
P0746,a’kistli,bejuco dañino que engrana la piel,,saludos y tiempo,intermedio,
P0747,a’kits,"para atrás, boca arriba",,partes del cuerpo,intermedio,
P0748,a’kistska’,está acostado boca arriba,,partes del cuerpo,intermedio,
P0749,akitskamachaloua,"voltea hacia arriba, boquiabierto",,direcciones y lugares,intermedio,
P0750,a’kitskochi,duerme boca arriba,,partes del cuerpo,intermedio,
P0751,a’kitskuepa,se volte hacia arriba (acostado),,direcciones y lugares,intermedio,
P0752,a’kitsmama,se lo carga encima estando boca arriba,,partes del cuerpo,intermedio,
P0753,a’kitsmilaua,"endereza la espalda, se recuesta",,otras,intermedio,
P0754,a’kitsoskia,se lo iba a empinar (se refiere a beber algún líquido),,verbos y acciones,intermedio,
P0755,a’kitsoua,se lo empina (beber),,verbos y acciones,intermedio,
P0756,a’kitsne’nemi,camina hacia atrás,,otras,intermedio,
P0757,a’kitstlamotla,lo avienta hacia atrás,,otras,intermedio,
P0758,a’kitstlasa,se hace para atrás,,otras,intermedio,
P0759,a’kitstlamotlak,"aventó, lanzó, reclinó hacia atrás",,otras,intermedio,
P0760,a’kitsuitsi,se cae para atrás,,otras,intermedio,
P0761,a’kitsyauj,se va hacia atrás,,otras,intermedio,
P0762,a’ko,arriba,ue'kapa,direcciones y lugares,basico,
P0763,akoatl,vibora que vive en el agua,,elementos de la naturaleza,intermedio,
P0764,a’kokiauitl,lluvia que da señales de levantar pronto,,astronomía y naturaleza,intermedio,
P0765,a’kokui,levanta,,otras,basico,
P0766,a’kokuika,levántelo,,otras,intermedio,
P0767,a’kolchikauak,fuerte de hombros,,partes del cuerpo,intermedio,
P0768,a’koli,hombro,,partes del cuerpo,basico,
P0769,a’koliuia,lugar donde el cauce del arroyo toma forma de curva,,otras,intermedio,
P0770,a’kolpalani,infección en el hombro,,partes del cuerpo,intermedio,
P0771,a’kolpatlauak,ancho de los hombros,,partes del cuerpo,intermedio,
P0772,a’komitl,olla de cocina en la que se almacena el agua,,elementos de la naturaleza,intermedio,
P0773,a’kopa,hacia arriba,,direcciones y lugares,basico,
P0774,a’kopanchitoni,brinca hacia arriba,,direcciones y lugares,intermedio,
P0775,a’kosamalotl,arco iris,,astronomía y naturaleza,intermedio,
P0776,a’koltemaloua,le sale pus en el área del hombro,,partes del cuerpo,intermedio,
P0777,a’koltilana,masaje en los hombros,,partes del cuerpo,intermedio,
P0778,a’koltipitstik,duro de los hombros,,partes del cuerpo,intermedio,
P0779,a’koltipitsaui,se endurece de los hombros,,partes del cuerpo,intermedio,
P0780,a’koltipitsoua,pone duro su hombro,,partes del cuerpo,intermedio,
P0781,a’kotlachía,mira hacia arriba,,direcciones y lugares,intermedio,
P0782,a’kotlachialis,mirada hacia el cielo,,astronomía y naturaleza,intermedio,
P0783,a’kotlasa,lo arroja hacia arriba,,direcciones y lugares,intermedio,
P0784,a’kotlatsinilotl,palmadas en el hombro (para felicitar),,partes del cuerpo,intermedio,
P0785,akuitlatl,diarrea,,salud y enfermedades,intermedio,
P0786,akuxa’,aguja,huitzmallotl,otras,intermedio,
P0787,akuxa’uia,se pincha los dedos con la aguja,,números,intermedio,
P0788,akxoua,estornuda,,otras,intermedio,
P0789,alastik,resbaloso,,otras,basico,
P0790,alauakokuili,gusano baboso,,saludos y tiempo,intermedio,
P0791,alaui,se hace resbaloso,,otras,intermedio,
P0792,alpixo,alverjón (especie de frijol),,vegetales y hierbas,intermedio,
P0793,altepekatl,"lugareño, pueblerino, nativo",,saludos y tiempo,intermedio,
P0794,altepeme,pueblos,,otras,intermedio,
P0795,altepetl,"pueblo, comunidad",,otras,intermedio,
P0796,aluikak,cielo,,astronomía y naturaleza,basico,
P0797,amachiujki,"dícese de quien hace un escrito, de quien hace el papel",,otras,intermedio,
P0798,amachiujtok,está escribiendo un documento,,otras,intermedio,
P0799,amaixmati,conoce los papeles (sinónimo de saber leer),,saludos y tiempo,intermedio,
P0800,amakisa,"le sale su documento (registro, acta…)",,otras,intermedio,
P0801,amakixti,"tramítale su registro, acta, factura, etc.",,otras,intermedio,
P0802,amame’,papeles,,otras,basico,
P0803,amanali,charco,,otras,basico,
P0804,amanalka’,está encharcado,,otras,intermedio,
P0805,amanalteka,se encharca,,otras,intermedio,
P0806,amapiki,lo envuelve en papel,,otras,intermedio,
P0807,amasoli,"papel viejo, documento antiguo",,otras,intermedio,
P0808,amapipichtik,"papel replegado, corrugado",,otras,intermedio,
P0809,amatomi,"billete, papel moneda",,otras,intermedio,
P0810,amatontli,papelito,,otras,intermedio,
P0811,amatl,papel,,otras,intermedio,
P0812,amatlali,"escritura, contrato de compraventa de predio",,otras,intermedio,
P0813,ameli,manantial,,otras,basico,
P0814,ameya,le sale agua,akisa,elementos de la naturaleza,intermedio,
P0815,amiktok,"se está muriendo de sed, está sediento",,otras,intermedio,
P0816,amikis,se va morir de sed,,otras,intermedio,
P0817,amikiske’,se van a morir de sed,,otras,intermedio,
P0818,a’mo,no,,saludos y tiempo,basico,
P0819,amochtli,libro,,otras,intermedio,
P0820,amochkali,biblioteca,,otras,intermedio,
P0821,amochtla’kuilol,libreta,,otras,intermedio,
P0822,a’mo tlen,"no es nada, de nada, por nada (forma de contestar a la expresión de agradecimiento)",,saludos y tiempo,intermedio,
P0823,a’mouis,lavarse la cabeza,,partes del cuerpo,intermedio,
P0824,amoyaui,"turbio, agua sucia",,elementos de la naturaleza,intermedio,
P0825,ana,"agárralo, tómalo",,otras,intermedio,
P0826,anas,lo agarrará,,otras,basico,
P0827,Anauak,"junto al agua (Anáhuac, territorio del Imperio azteca)",,elementos de la naturaleza,intermedio,
P0828,anesi,aparece en el agua,,elementos de la naturaleza,intermedio,
P0829,aniuktik,agua dulce,,elementos de la naturaleza,intermedio,
P0830,anona’,guanábana,,frutas,basico,
P0831,apachiui,satisface su sed,,otras,intermedio,
P0832,apacho’,se sumergió en el agua,,elementos de la naturaleza,intermedio,
P0833,apaka,"lávalo con agua  (anteponiendo el prefijo xik apaca,
lávalo). Ki apaka hace referencia a la acción de la tercera persona del singular: lo lava",,saludos y tiempo,intermedio,
P0834,apalani,se pudre por exceso de agua,,elementos de la naturaleza,intermedio,
P0835,apanatl,caño de agua,,elementos de la naturaleza,intermedio,
P0836,apanko,sobre el agua,,elementos de la naturaleza,intermedio,
P0837,apano,pasa en el agua,,elementos de la naturaleza,intermedio,
P0838,apanok,pasó sobre el agua,,elementos de la naturaleza,intermedio,
P0839,apanoke’,"pasaron en el agua (ustedes, ellos, ellas)",,elementos de la naturaleza,intermedio,
P0840,a’pastli,cántaro,,otras,intermedio,
P0841,apatlani,flota en el agua,,elementos de la naturaleza,intermedio,
P0842,apiskalaki,sesación de tener hambre,,otras,intermedio,
P0843,apismiki,se muere de hambre,mayani,otras,intermedio,
P0844,apistli,"hambre, hambruna",,otras,intermedio,
P0845,apoliui,se pierde en el agua,,partes del cuerpo,intermedio,
P0846,apoposoka,hervor del agua,,elementos de la naturaleza,intermedio,
P0847,aposoni,hiérvelo en auga,,otras,intermedio,
P0848,a’seli,liendre,,otras,basico,
P0849,a’selo’,tiene liendres,,otras,basico,
P0850,a’si,"llega, alcanza",,otras,intermedio,
P0851,a’si’,"llegan, alcanzan",,otras,intermedio,
P0852,a’sikiue’,van a llegar aquí,,direcciones y lugares,intermedio,
P0853,a’siske’,"llegarán, alcanzarán",,otras,intermedio,
P0854,a’sitiue’,van a llegar,,otras,intermedio,
P0855,a’sito,llegó,,otras,basico,
P0856,a’sito’,llegaron,,otras,basico,
P0857,askakualo,se lo comen las hormigas,,insectos y reptiles,intermedio,
P0858,askakualok,se lo comieron las hormigas,,insectos y reptiles,intermedio,
P0859,askapotsli,hormiguero,,otras,intermedio,
P0860,askapotsalko,lugar de hormigueros o nidos de hormigas,,insectos y reptiles,intermedio,
P0861,askatontli,hormiguita,,otras,intermedio,
P0862,askatl,hormiga,,insectos y reptiles,intermedio,
P0863,askayo’,tiene hormiga,,insectos y reptiles,basico,
P0864,askayoua,"se hormiga (hace alusión a los objetos que atraen
a las hormigas, como el pan, la miel y otros productos)",,saludos y tiempo,intermedio,
P0865,askayouas,se va a hormigar,,insectos y reptiles,intermedio,
P0866,askayouaske’,se van a hormigar,,insectos y reptiles,intermedio,
P0867,astatl,garza,,aves silvestres,intermedio,
P0868,astakonetl,"garcita, cría de una garza",,aves silvestres,intermedio,
P0869,atemi,se llena de agua,,elementos de la naturaleza,intermedio,
P0870,atempanekatl,ejecuta,,otras,intermedio,
P0871,atenemachpan,súbitamente,,otras,intermedio,
P0872,atenki,está lleno de agua,,saludos y tiempo,intermedio,
P0873,atenko,"borde del río, a la orilla del río",,elementos de la naturaleza,intermedio,
P0874,atentli,a la orilla del agua,,elementos de la naturaleza,intermedio,
P0875,atik,"aguado, cosa blanda y sin consistencia",,saludos y tiempo,intermedio,
P0876,atimitl,piojo,,partes del cuerpo,intermedio,
P0877,atimiyoua,"se empioja, contagio de piojos en el cabello",,partes del cuerpo,intermedio,
P0878,atipokatl,"granillo en la carne de puerco, enfermedad porcina",,otras,intermedio,
P0879,atitla,lugar donde se encuentra el manantial,,otras,intermedio,
P0880,atiyo’,tiene piojos ,,partes del cuerpo,basico,
P0881,atiyo’ke’,tienen piojos,,partes del cuerpo,intermedio,
P0882,atochiatl,hierbabuena,,otras,intermedio,
P0883,atochiatl machia,huele o sabe a hierbabuena,,otras,intermedio,
P0884,atokak,se sumergió en el agua,,elementos de la naturaleza,intermedio,
P0885,atoktok,está sumergido en el agua,,elementos de la naturaleza,intermedio,
P0886,atoli,atole,,otras,basico,
P0887,atolchiujki,persona que prepara atole,,otras,intermedio,
P0888,atoliujtok,se está tornando en especie de atole,,otras,intermedio,
P0889,atol oni,se toma su atole,,otras,intermedio,
P0890,atol onitok,se está tomando su atole,,otras,intermedio,
P0891,atoltia,se hace como atole,,otras,intermedio,
P0892,atoltik,sustancias con consistencia similar al atole,,saludos y tiempo,intermedio,
P0893,atolxokok,atole agrio,,otras,intermedio,
P0894,atonaui,"tiene calentura, fiebre",,salud y enfermedades,intermedio,
P0895,atontli,agüita,,otras,intermedio,
P0896,atl,agua,,elementos de la naturaleza,intermedio,
P0897,atlakisaya,"lugar donde sale el agua, manantial",,elementos de la naturaleza,intermedio,
P0898,atlakui,acarrea agua,,elementos de la naturaleza,intermedio,
P0899,atlakui’,acarrean agua,,elementos de la naturaleza,intermedio,
P0900,atlakuiuayan,"pozo, lugar de donde se toma el agua",,elementos de la naturaleza,intermedio,
P0901,atlakuika,acrreen agua,,elementos de la naturaleza,intermedio,
P0902,atlakuini,"aguador, perosna que acarrea agua desde el manantial",,elementos de la naturaleza,intermedio,
P0903,atli,bebe agua,,elementos de la naturaleza,intermedio,
P0904,atli’,beben agua,,elementos de la naturaleza,intermedio,
P0905,atlika,indicación o invitación a llevar a cabo la acción de tomar agua,,elementos de la naturaleza,intermedio,
P0906,atlitoke’,están tomando agua,,elementos de la naturaleza,intermedio,
P0907,auaki,se le seca el agua,,elementos de la naturaleza,intermedio,
P0908,a’uatik,desprende aguate,,elementos de la naturaleza,basico,
P0909,a’uatl,"aguate, espina muy delgada a modo de vello que tienen algunas plantas en el tallo como la caña o la planta de maíz",,elementos de la naturaleza,intermedio,
P0910,au’atl,cauce del río,,elementos de la naturaleza,intermedio,
P0911,a’uiak,oloroso,,otras,basico,
P0912,a’uil,"difícil, imposible de realizarse",,saludos y tiempo,intermedio,
P0913,a’uiltilistli,juego,,otras,intermedio,
P0914,axan,"ahora, hoy, en este momento",,saludos y tiempo,intermedio,
P0915,a’xilka,completo,,otras,intermedio,
P0916,a’xilti,complétale,,otras,intermedio,
P0917,axolotl,ajolote,,animales acuáticos,intermedio,
P0918,ayatl,ayate,,otras,intermedio,
P0919,ayaui,cárgatelo con el ayate,,otras,intermedio,
P0920,ayik,"nunca, jamás",,saludos y tiempo,intermedio,
P0921,ayikmikistli,inmortalidad,,otras,intermedio,
P0922,ayikmiki,inmortal,,otras,intermedio,
P0923,ayikmo,"ya no, limitación de algo consecutivo",,saludos y tiempo,intermedio,
P0924,ayo’,"tiene agua, aguanoso",,saludos y tiempo,intermedio,
P0925,ayo’kisa,se le sale el jugo,,otras,intermedio,
P0926,ayokotl,"ayocote, especie de frijol más grueso que el común",,vegetales y hierbas,intermedio,
P0927,ayokotla’,lugar donde se siembra el ayocote,,saludos y tiempo,intermedio,
P0928,ayo’pachiui,cansarse de come calabaza,,vegetales y hierbas,intermedio,
P0929,ayo’tía,"se hace aguanoso, dícese cuando algo se aguada o algo o alguien se debillita o flaquea",,saludos y tiempo,intermedio,
P0930,ayotik,aguanoso,,saludos y tiempo,basico,
P0931,ayo’tochkakauatl,armadillo,,otras,intermedio,
P0932,ayotl,tortuga,,otras,intermedio,
P0933,ayo’tli,calabaza,,vegetales y hierbas,intermedio,
P0934,ayoualnesi,"sujeto, objeto, silueta, etc. Que aparecen en la noche junto al agua",,saludos y tiempo,intermedio,
P0935,ayo’uichtla’,lugar donde siembra la semilla de calabaza,,saludos y tiempo,intermedio,
P0936,ayo’uichtli,"pipián, semilla de calabaza",,vegetales y hierbas,intermedio,
P0937,ch,"consonante compuesta, segundo en el alfabeto náhuatl",,otras,intermedio,
P0938,chachaltik,"ruidoso, que suena como sonaja",,números,intermedio,
P0939,chachayaktik,"reluciente, utilizado en terminaciones de telas finas y brillosas",,números,intermedio,
P0940,chachayaui,se esparce,,otras,intermedio,
P0941,chakali,"Chacali, (en Centroamérica, de la familia de los crustáceos, decápodo, macruro), en el regionalismo de la Huasteca
poblana también se le llama así a la larva o gusano",,saludos y tiempo,intermedio,
P0942,chakaliui,se agusana,,otras,intermedio,
P0943,chakaliuis,se va a agusanar,,otras,intermedio,
P0944,chakaliujtok,se está agusanando,,otras,intermedio,
P0945,chakalo’,está agusanado,,otras,intermedio,
P0946,chakaloua,"dícese cuando un objeto presenta la infestación
de gusanos por descomposición (se agusana)",,saludos y tiempo,intermedio,
P0947,chakaloua’,se agusana,,otras,intermedio,
P0948,chalaui’tli,"chalahuite, variedad de árbol que en los plantíos de café se usa para procurar sombra",,colores,intermedio,
P0949,chalaui’yo’,tiene chalahuites,,otras,intermedio,
P0950,chali,chal,,otras,basico,
P0951,chane’,"casero, que es de casa, que se hace en casa, propietario que alquila su casa",,partes del cuerpo,intermedio,
P0952,chane’ke’,caseros,,verbos y acciones,intermedio,
P0953,chanka’,está en casa,,otras,intermedio,
P0954,chankalaki,"se mete en la casa ajena, en lenguaje jurídico: allanamiento de morada.",,partes del cuerpo,intermedio,
P0955,chankate’,está en casa,,otras,intermedio,
P0956,chankakauatl,"piloncillo, panela",,otras,intermedio,
P0957,chantlaka’,paisanos,,saludos y tiempo,intermedio,
P0958,chanuia,"cuando uno o varios individuos visitan a otra persona en su casa, cuando se propicia daño en propiedad
ajena, puede referirse al daño físico al morador",,saludos y tiempo,intermedio,
P0959,chapani,"se aplasta (una sustancia glutinosa), también significa sentarse",,saludos y tiempo,intermedio,
P0960,chapoli,"chapulín, grillo",,insectos y reptiles,intermedio,
P0961,chía,espera,,otras,basico,
P0962,chialistli,"esperanza, esperanzado de lograr lo que se desea",,otras,intermedio,
P0963,chiauak,"grasa, manteca, grasoso",,otras,intermedio,
P0964,chi’cha,saliva (se refiere al acto de salivar),,otras,intermedio,
P0965,chi’chatl,saliva,,otras,intermedio,
P0966,chi’chaui,"escúpelo, échale saliva",,partes del cuerpo,intermedio,
P0967,chi’chauia,lo escupe ateponiéndole el prefijo ki,,otras,intermedio,
P0968,chi’chaka,escupan,,otras,intermedio,
P0969,chichi,"tama su leche el niño, perro",,animales domésticos,intermedio,
P0970,chichik,amargo,,elementos de la naturaleza,basico,
P0971,chichika,"amargoso, hiel",,elementos de la naturaleza,intermedio,
P0972,chichikatl,agua amargasa,,elementos de la naturaleza,intermedio,
P0973,chichiktlaili,cerveza,,otras,intermedio,
P0974,chichiktsi,amarguito,,elementos de la naturaleza,intermedio,
P0975,chichiliui,"dicho del rostro: enrojecer, ruborizarse",,otras,intermedio,
P0976,chichilotik,rojizo,,otras,intermedio,
P0977,chichiltik,rojo,,colores,intermedio,
P0978,chichiltlaoli,maíz rojizo,,granos y semillas,intermedio,
P0979,chichiti,dale de mamar,,elementos de la naturaleza,intermedio,
P0980,chichitika,denles de mamar,,elementos de la naturaleza,intermedio,
P0981,chichiuali,"pezón, seno, ubre, teta",,saludos y tiempo,intermedio,
P0982,chika,"constante, que sucede con frecuencia",,otras,intermedio,
P0983,chikauak,"fuerte, de gran resistencia, de carácter firme, dicho de una cosa dura como las monedas el acero y otros
metales, aguardiente",,saludos y tiempo,intermedio,
P0984,chikauakan,acción de aportar fuerza en torno a alguien o algo,,saludos y tiempo,intermedio,
P0985,chikauake’,están fuertes,,otras,intermedio,
P0986,chikauako,vino a reforzar (tiempo pasado anteponiendo el prefijo oki),,saludos y tiempo,intermedio,
P0987,chikauili,"haz el esfuerzo, esfuérzate",,otras,intermedio,
P0988,chikaualistli,esfuerzo,,otras,intermedio,
P0989,chikauas,"se va a reforzar, se va a hacer fuerte",,otras,intermedio,
P0990,chikauis,"va a endurecer (el concreto, por ejemplo)",,otras,intermedio,
P0991,chikiuitl,chiquihuite,,otras,intermedio,
P0992,chi’koltik,"chueco, torcido, se refiere a lo que no es recto, a obrar sin rectitud",,saludos y tiempo,intermedio,
P0993,chi’koliui,"se encorva, se tuerce, se enchueca",,otras,intermedio,
P0994,chikome,"siete (se refiere a objetos, personas, animales…)",,saludos y tiempo,intermedio,
P0995,chikomente,son siete,,saludos y tiempo,intermedio,
P0996,chikomexochitl,siete flores,,saludos y tiempo,intermedio,
P0997,Chikontepec,siete cerros,,saludos y tiempo,intermedio,
P0998,chikotlasa,"hacer a un lado, dejar de lado",,otras,intermedio,
P0999,chikueyi,ocho (numeral),,números,intermedio,
P1000,chikueyinte,"son ocho (personas, animales)",,números,intermedio,
P1001,chilchotl,chile verde,,colores,intermedio,
P1002,chilchotla’,lugar donde abunda el chile,,vegetales y hierbas,intermedio,
P1003,chili,chile ,,vegetales y hierbas,basico,
P1004,chilmili,"sembradio de chile, chilar",,vegetales y hierbas,intermedio,
P1005,chilmiloua,"siembra su chilar, produce chile",,saludos y tiempo,intermedio,
P1006,chilo’,enchilado,,otras,basico,
P1007,chilpa’tli,jengibre,,otras,intermedio,
P1008,chilposon,comida hervida en salsa,,otras,intermedio,
P1009,chiltikpin,chiltepín,,otras,intermedio,
P1010,chiltipintsin,chiltepín de tamaño pequeño,,otras,intermedio,
P1011,chiluaktli,chile seco,,vegetales y hierbas,intermedio,
P1012,chilueyi,chile de gran tamaño,,vegetales y hierbas,intermedio,
P1013,chilui,enchílalo,,otras,basico,
P1014,chilnamakani,"persona que tiene por oficio vender chiles de todo tipo o variedad, persona mentirosa",,colores,intermedio,
P1015,chimali,"escudo, amparo, defensa, protección",,otras,intermedio,
P1016,chimaltik,"escudado, alguien que está escudado",,otras,intermedio,
P1017,chi’moltik,"despeinado, traer el pelo alborotado, sin peinar",,saludos y tiempo,intermedio,
P1018,chi’moliui,se enchina (referido a un cairel),,elementos de la naturaleza,intermedio,
P1019,chipaktik,"blanco, blanquecino",,saludos y tiempo,intermedio,
P1020,chipaua,"esclarecer, aclarar una duda o mentira, version del testigo en torno a un asunto",,saludos y tiempo,intermedio,
P1021,chipaui,"emblanquece, se blanquea, se esclarece, se aclara la duda",,otras,intermedio,
P1022,chipaujtok,"se refiere a que una prenda esté en proceso de limpieza, que alguien esté declarando ante un juez",,partes del cuerpo,intermedio,
P1023,chipa’yak,"olor lechoso (el de un bebé, por ejemplo)",,otras,intermedio,
P1024,chipo’tli,"garrapata, ácaro que vive de la sangre de cuadrupedos",,números,intermedio,
P1025,chitoni,"brinca, omitir a alguien",,otras,intermedio,
P1026,chitonika,brínquen,,otras,intermedio,
P1027,chitonilistli,brinco,,otras,intermedio,
P1028,choloni,"escurre (por ejemplo: las gotas de un líquido de un
recipiente o de algo que pende)",,partes del cuerpo,intermedio,
P1029,cholui,"bríncalo, omítelo, asciende (a un puesto superior sin pasar por los anteriores)",,saludos y tiempo,intermedio,
P1030,e,segunda vocal y tercera letra del alfabeto,,otras,intermedio,
P1031,e’ekatl,"viento, aire",,elementos de la naturaleza,intermedio,
P1032,eli,pecho,,otras,basico,
P1033,elotamali,tamal de elote,,vegetales y hierbas,intermedio,
P1034,elotl,"elote, mazorca tierna de maíz",,vegetales y hierbas,intermedio,
P1035,elotsontli,pelo del elote,,partes del cuerpo,intermedio,
P1036,eloxochitl,espiga de milpa,,números,intermedio,
P1037,eltapach,pechuga (de las aves),,otras,intermedio,
P1038,eltilini,contracción en el área pectoral,,otras,intermedio,
P1039,eltsontli,vello del pecho (masculino),,saludos y tiempo,intermedio,
P1040,epasomachia,sabor a epazote,,otras,intermedio,
P1041,epasomoloni,huele a epazote,,otras,intermedio,
P1042,epasotl,epazote,,otras,intermedio,
P1043,epatl,zorrillo,,mamíferos silvestres,intermedio,
P1044,e’putsa,eructar,,otras,intermedio,
P1045,etl,frijol,yitl,vegetales y hierbas,intermedio,
P1046,eua,"guárdalo, ponlo donde esté seguro, consérvalo",,otras,intermedio,
P1047,eualoni,recipiente en donde se guarda algo,,partes del cuerpo,intermedio,
P1048,exotl,ejote,,vegetales y hierbas,intermedio,
P1049,i,cuarta letra del alfabeto y tercera vocal,,otras,intermedio,
P1050,i,su,,otras,basico,
P1051,ichan,"su casa, lugar destinado a vivienda de alguien (posesivo singular de la tercera persona)",,saludos y tiempo,intermedio,
P1052,ichantlakauj,"su vecino, su paisano",,saludos y tiempo,intermedio,
